Ticker,Company,Industry,Sector,PE Ratio,Forward PE,DividendYield,Target Price,Price Percent to Target,Total Return,Current Price,Market Cap. (USD),IV,Sharpe Ratio,ETF,S&P 500,DJIA,Nasdaq 100
ABEV,   Ambev-Pr Adr,Beverages—Brewers,Consumer Defensive,15.4,13.121,6.89,2.83,22.51,29.4,2.31,36391347300,28.52,1,,,,
ABG,   Asbury Auto Grp,Auto & Truck Dealerships,Consumer Cyclical,14.899,9.797,0,252.5,-4.84,-4.84,265.35,5198206500,45.42,-0.1,,,,
ABL,   Abacus Life Inc,Insurance—Life,Financial Services,0,15,0,13.75,72.96,72.96,7.95,673206000,73.75,1,,,,
ABM,   Abm Industries,Specialty Business Services,Industrials,23.244,16.786,1.56,55.5,-1.33,0.23,56.25,3531937500,35.74,0,,,,
ABNB,   Airbnb Inc,Travel Services,Consumer Cyclical,47.895,31.139,0,140,1.85,1.85,137.46,87145516200,30.4,0.1,XLY,S&P 500,,Nasdaq 100
ABOS,   Acumen Pharma,Biotechnology,Healthcare,0,-1.272,0,11,382.46,382.46,2.28,136982400,146.07,2.6,,,,
ABR,   Arbor Rlty Trst,REIT—Mortgage,Real Estate,10.632,10.433,11.82,14.13,-0.11,11.71,14.14,2666945400,34.19,0.3,,,,
ABSI,   Acbsi Corp,Biotechnology,Healthcare,0,-3.617,0,7,134.11,134.11,2.99,343431400,95.28,1.4,,,,
ABT,   Abbott Labs,Medical Devices,Healthcare,35.347,29.343,1.88,130.03,11.81,13.69,116.29,2.02E+11,19.75,0.7,XLV,S&P 500,,
ABUS,   Arbutus Bioph,Biotechnology,Healthcare,0,-7.146,0,7.02,105.98,105.98,3.41,646160900,60.89,1.7,,,,
ABVX,   Abivax Sa,Biotechnology,Healthcare,0,-2.833,0,42,406.02,406.02,8.3,525390000,102.779,4,,,,
ACA,   Arcosa Inc,Engineering & Construction,Industrials,41.369,25.322,0.18,110,1.1,1.28,108.8,5307264000,41.76,0,,,,
ACAD,   Acadia Pharma,Biotechnology,Healthcare,20.897,21.007,0,26,59.51,59.51,16.3,2712157000,51.24,1.2,,,,
ACCD,   Accolade Inc,Health Information Services,Healthcare,0,-4.398,0,7.25,103.08,103.08,3.57,287527800,85.48,1.2,,,,
ACCO,   Acco Brands Cp,Business Equipment & Supplies,Industrials,0,7.615,4.89,12,95.76,100.65,6.13,569354400,51.88,1.9,,,,
ACDC,   Profrac Hldg Cp,Oil & Gas Equipment & Services,Energy,0,17.426,0,7,-20.45,-20.45,8.8,1409320000,75.05,-0.3,,,,
ACDVF,   Air Canada,Airlines,Industrials,3.726,7.941,0,18.93,6.95,6.95,17.7,6345273000,71.851,0.1,,,,
ACEL,   Accel Entertnmt,Gambling,Consumer Cyclical,23.02,19.469,0,15,27.77,27.77,11.74,966671600,33.18,0.8,,,,
ACGL,   Arch Cap Gp Ltd,Insurance—Diversified,Financial Services,6.68,10.293,0,121,21.57,21.57,99.53,37447167200,24.74,0.9,XLF,S&P 500,,
ACHC,   Acadia Healthcr,Medical Care Facilities,Healthcare,13.852,12.39,0,64.5,52.66,52.66,42.25,3924602500,53.56,1,,,,
ACHL,   Achilles Therps,Biotechnology,Healthcare,0,-1.23,0,4,273.83,273.83,1.07,43977000,113.22,2.4,,,,
ACHR,   Archer Aviation,Aerospace & Defense,Industrials,0,-6.783,0,11,62.96,62.96,6.75,2870572500,166.22,0.4,,,,
ACHV,   Achieve Lifesci,Biotechnology,Healthcare,0,-4.039,0,14,207.02,207.02,4.56,156818400,60.31,3.4,,,,
ACI,   Albertsons Cos,Grocery Stores,Consumer Defensive,11.31,9.805,2.47,24,24.1,26.57,19.34,11204629000,72.98,0.4,,,,
ACIC,   Amer Coastl Ins,Insurance—Property & Casualty,Financial Services,7.626,8.506,0,16,20.57,20.57,13.27,639746700,61.01,0.3,,,,
ACIU,   Ac Immune Sa,Biotechnology,Healthcare,0,-14.913,0,7.54,134.98,134.98,3.21,317597400,100.8,1.3,,,,
ACIW,   Aci Worldwide,Software—Infrastructure,Technology,26.787,30.064,0,66,16.77,16.77,56.52,5928382800,34.72,0.5,,,,
ACLS,   Axcelis Tech,Semiconductor Equipment & Materials,Technology,11.272,15.47,0,117.5,54.2,54.2,76.2,2477262000,50.59,1.1,,,,
ACLX,   Arcellx Inc,Biotechnology,Healthcare,0,-37.339,0,115,29.72,29.72,88.65,4794192000,68.59,0.4,,,,
ACM,   Aecom,Engineering & Construction,Industrials,30.906,19.999,0.81,123,7.27,8.08,114.66,15187863600,27.29,0.3,,,,
ACMR,   Acm Research,Semiconductor Equipment & Materials,Technology,12.18,9.31,0,32.5,100.62,100.62,16.2,933282000,64.23,1.6,,,,
ACN,   Accenture Plc,Information Technology Services,Technology,30.763,24.956,1.64,381.5,8.21,9.85,352.54,2.20E+11,26.68,0.4,XLK,S&P 500,,
ACNB,   Acnb Corp,Banks—Regional,Financial Services,13.081,15.271,2.75,53,17.78,20.53,45,384750000,128.13,0.2,,,,
ACR,   Acres Commercl,REIT—Mortgage,Real Estate,21.325,24.247,0,19.5,10.17,10.17,17.7,136998000,29.06,0.3,,,,
ACRE,   Ares Commercial,REIT—Mortgage,Real Estate,0,13.647,14.12,7,-0.43,13.69,7.03,383416200,23.91,0.6,,,,
ACRS,   Aclaris Therapt,Diagnostics & Research,Healthcare,0,-8.411,0,7,82.05,82.05,3.85,275005500,132.1,0.6,,,,
ACRV,   Acrivon Therap,Biotechnology,Healthcare,0,-2.616,0,22,195.3,195.3,7.45,231993000,102.779,1.9,,,,
ACT,   Enact Holdings,Insurance—Specialty,Financial Services,8.242,8.145,2.1,39,10.29,12.39,35.36,5430942400,24.81,0.5,,,,
ACTG,   Acacia Research,Business Equipment & Supplies,Industrials,7.707,-20.318,0,7,56.6,56.6,4.47,435243900,43.75,1.3,,,,
ACU,   Acme Utd,Household & Personal Products,Consumer Defensive,8.609,27.225,1.36,58,33.15,34.51,43.56,162914400,45.074,0.8,,,,
ACVA,   Acv Auctions,Auto & Truck Dealerships,Consumer Cyclical,0,-157.666,0,26,13.89,13.89,22.83,3827221200,44.37,0.3,,,,
ADAG,   Adagene Inc Adr,Biotechnology,Healthcare,0,-1.438,0,4.9,110.3,110.3,2.33,103149100,102.779,1.1,,,,
ADAP,   Adaptimmune Thr,Biotechnology,Healthcare,0,-1.755,0,2,186.37,186.37,0.7,179116000,220,0.8,,,,
ADBE,   Adobe Systems,Software—Infrastructure,Technology,43.677,31.834,0,635,23,23,516.26,2.27E+11,53.29,0.4,XLK,S&P 500,,Nasdaq 100
ADC,   Agree Rlty Corp,REIT—Retail,Real Estate,41.177,41.471,4.02,80,7.34,11.36,74.53,7715345600,20.01,0.6,,,,
ADCT,   Adc Therapeutic,Biotechnology,Healthcare,0,-1.377,0,8,286.47,286.47,2.07,200148300,100,2.9,,,,
ADEA,   Adeia Inc,Software—Application,Technology,33.649,11.971,1.6,15,20.48,22.08,12.45,1360411500,49.9,0.4,,,,
ADI,   Analog Devices,Semiconductors,Technology,67.543,33.847,1.65,250,12.85,14.5,221.54,1.10E+11,27,0.5,XLK,S&P 500,,Nasdaq 100
ADM,   Archer Daniels,Farm Products,Consumer Defensive,14.935,10.899,3.79,58.47,9.96,13.75,53.17,25443440100,25.28,0.5,XLP,S&P 500,,
ADMA,   Adma Biologics,Biotechnology,Healthcare,73.778,27.381,0,25,25.5,25.5,19.92,4708888800,65.07,0.4,,,,
ADNT,   Adient Plc,Auto Parts,Consumer Cyclical,99.5,7.101,0,24,20.6,20.6,19.9,1688913000,45.91,0.4,,,,
ADP,   Automatic Data,Software—Application,Technology,32.433,28.109,2.01,297,-2.16,-0.15,303.57,1.24E+11,19.34,0,XLI,S&P 500,,Nasdaq 100
ADPT,   Adaptive Biotec,Biotechnology,Healthcare,0,-6.744,0,7,11.11,11.11,6.3,929754000,69.79,0.2,,,,
ADRNY,   Konin Ahold Del,Grocery Stores,Consumer Defensive,16.82,12.112,3.52,36,4.41,7.93,34.48,32064676000,45.793,0.2,,,,
ADSE,   Ads Tec Egy Plc,Electrical Equipment & Parts,Industrials,0,98.226,0,14,1.97,1.97,13.73,694600700,55.89,0,,,,
ADSK,   Autodesk Inc,Software—Application,Technology,59.317,52.363,0,325,8.71,8.71,298.96,64276400000,25.66,0.3,XLK,S&P 500,,Nasdaq 100
ADT,   Adt Inc,Security & Protection Services,Industrials,752,9.766,2.88,9,19.68,22.56,7.52,6820715200,33.33,0.7,,,,
ADTN,   Adtran Holdings,Communication Equipment,Technology,0,-27.839,6.77,9.98,15.6,22.37,8.63,684445300,51.81,0.4,,,,
ADUS,   Addus Homecare,Medical Care Facilities,Healthcare,27.963,22.275,0,140.5,14.98,14.98,122.2,2215486000,33.58,0.4,,,,
ADV,   Advantage Sol,Advertising Agencies,Communication Services,0,-56,0,4.5,23.63,23.63,3.64,1167530000,157.5,0.2,,,,
ADVM,   Adverum Biot,Biotechnology,Healthcare,0,-1.353,0,32,405.53,405.53,6.33,131664000,106.32,3.8,,,,
ADXN,   Addex Therapeut,Biotechnology,Healthcare,0,0,0,30,276.41,276.41,7.97,8448200,102.779,2.7,,,,
ADYEY,   Adyen Nv,Software—Infrastructure,Technology,52.429,37.585,0,18.14,23.57,23.57,14.68,46209557200,36.935,0.6,,,,
AE,   Adams Res&Enrgy,Oil & Gas Refining & Marketing,Energy,0,79.309,2.58,38,1.95,4.53,37.28,96182400,25.89,0.2,,,,
AEE,   Ameren Corp,Utilities—Regulated Electric,Utilities,21.6,18.654,2.89,89,-3.05,-0.16,91.8,24504174000,16.78,0,XLU,S&P 500,,
AEG,   Aegon N V,Insurance—Diversified,Financial Services,0,10.578,5.57,6.8,6.08,11.65,6.41,14130780900,75,0.2,,,,
AEHR,   Aehr Test Sys,Semiconductor Equipment & Materials,Technology,12.469,26,0,25,104.58,104.58,12.22,362078600,74.79,1.4,,,,
AEIS,   Adv Energy Inds,Electrical Equipment & Parts,Industrials,98.375,32.831,0.34,120,1.65,1.99,118.05,4446943500,43.36,0,,,,
AEM,   Agnico Eagle,Gold,Basic Materials,43.429,16.872,1.93,100,16.29,18.22,85.99,43172139400,33.88,0.5,,,,
AENT,   Alliance Entmnt,Entertainment,Communication Services,32.353,12.222,0,6,9.09,9.09,5.5,280280000,77.94,0.1,,,,
AEO,   Amer Eagle Outf,Apparel Retail,Consumer Cyclical,15.944,10.106,2.51,22.5,12.9,15.41,19.93,3827755800,66.6,0.2,,,,
AEP,   Amer Elec Pwr,Utilities—Regulated Electric,Utilities,19.56,16.235,3.79,100.5,3.59,7.38,97.02,51626282400,19.43,0.4,XLU,S&P 500,,Nasdaq 100
AER,   Aercap Hldgs Nv,Rental & Leasing Services,Industrials,7.834,9.845,1.02,113,16.33,17.35,97.14,19226920200,25.84,0.7,,,,
AES,   Aes Corp,Utilities—Diversified,Utilities,9.063,6.208,5.3,22,68.58,73.88,13.05,9278941500,43.82,1.7,XLU,S&P 500,,
AESI,   Atlas Egy Solut,Oil & Gas Equipment & Services,Energy,34.797,10.316,4.1,23,-4.21,-0.11,24.01,2646382200,38.93,0,,,,
AETUF,   Arc Resources,Oil & Gas E&P,Energy,12,6.413,2.74,34.82,94.77,97.51,17.88,10588357200,43.098,2.3,,,,
AEVA,   Aeva Technologs,Software—Infrastructure,Technology,0,-1.745,0,5.5,27.61,27.61,4.31,232222800,93.98,0.3,,,,
AEYE,   Audioeye Inc,Software—Application,Technology,0,645,0,34.5,33.72,33.72,25.8,314244000,92.95,0.4,,,,
AFCG,   Afc Gamma Inc,REIT—Mortgage,Real Estate,37,7.575,13.52,13,35.14,48.66,9.62,211159000,24.06,2,,,,
AFG,   Amer Finl Group,Insurance—Property & Casualty,Financial Services,13.324,12.233,2.22,150,5.61,7.83,142.03,11920577900,35.1,0.2,,,,
AFL,   Aflac Inc,Insurance—Life,Financial Services,15.863,15.093,1.8,105,-1.65,0.15,106.76,59308382800,24.21,0,XLF,S&P 500,,
AFLYY,   Air France-Adr,Airlines,Industrials,6.077,1.869,0,0.81,2.53,2.53,0.79,2075883000,71.851,0,,,,
AFRM,   Affirm Holdings,Software—Infrastructure,Technology,0,196.12,0,56.5,-20.15,-20.15,70.76,22222885600,76.8,-0.3,,,,
AG,   First Majestic,Silver,Basic Materials,0,45.286,0.32,8.75,38.01,38.33,6.34,1913158400,60.12,0.6,,,,
AGCO,   Agco Corp,Farm & Heavy Construction Machinery,Industrials,44.496,15.78,1.14,102,1.43,2.57,100.56,7506804000,32.41,0.1,,,,
AGEN,   Agenus Inc,Biotechnology,Healthcare,0,-0.354,0,7.5,114.29,114.29,3.5,82110000,150.68,0.8,,,,
AGESY,   Ageas-Adr,Insurance—Diversified,Financial Services,8.277,6.118,6.94,60.91,20.63,27.57,50.49,9490605300,36.935,0.7,,,,
AGI,   Alamos Gold Inc,Gold,Basic Materials,32.267,16.442,0.54,24.5,26.55,27.09,19.36,8134104000,34.82,0.8,,,,
AGIO,   Agios Pharmact,Biotechnology,Healthcare,5.05,-9.689,0,55.5,-5.74,-5.74,58.88,3357926400,55.65,-0.1,,,,
AGL,   Agilon Health,Medical Care Facilities,Healthcare,0,-5.289,0,2.5,17.37,17.37,2.13,877602600,99.11,0.2,,,,
AGM,   Fed Agric Mtg-C,Credit Services,Financial Services,13.665,12.276,2.63,216,1.65,4.28,212.49,2311891200,29.02,0.1,,,,
AGNC,   Agnc Investment,REIT—Mortgage,Real Estate,6.362,5.325,15,10.5,10.76,25.76,9.48,8395867200,15.54,1.7,,,,
AGO,   Assured Guarnty,Insurance—Specialty,Financial Services,7.237,13.754,1.35,107.5,16.51,17.86,92.27,4696543000,30.26,0.6,,,,
AGR,   Avangrid Inc,Utilities—Regulated Electric,Utilities,12.3,15.019,4.93,35.75,0.22,5.15,35.67,13801079700,74,0.1,,,,
AGRO,   Adecoagro Sa,Farm Products,Consumer Defensive,7.293,9.172,3.18,13,18.83,22.01,10.94,1139291600,33.25,0.7,,,,
AGS,   Playags Inc,Gambling,Consumer Cyclical,68.235,15.24,0,12.5,7.76,7.76,11.6,474788000,41.25,0.2,,,,
AGX,   Argan Inc,Engineering & Construction,Industrials,46.994,29.251,0.96,115,-23.29,-22.33,149.91,2023785000,74.96,-0.3,,,,
AGYS,   Agilysys Inc,Software—Application,Technology,37.781,111.756,0,145,9.03,9.03,132.99,3717070500,53.38,0.2,,,,
AHCO,   Adapthealth Cp,Medical Devices,Healthcare,0,11.271,0,12,25.26,25.26,9.58,1289084800,53.02,0.5,,,,
AHEXY,   Adecco Sa U-Adr,Staffing & Employment Services,Industrials,14.151,11.625,10.32,12.82,-2.56,7.76,13.16,4432946000,48.756,0.2,,,,
AHH,   Armada Hoffler,REIT—Diversified,Real Estate,0,66.545,7.4,12,9.29,16.69,10.98,1112932800,33.13,0.5,,,,
AHR,   Amer Hlthc Reit,REIT—Healthcare Facilities,Real Estate,0,104.457,3.45,29,0.35,3.8,28.9,4423434000,38.72,0.1,,,,
AHT,   Ashford Hosptly,REIT—Hotel & Motel,Real Estate,0.002,-0.213,0,15,65.75,65.75,9.05,49956000,98.75,0.7,,,,
AI,   C3.Ai Inc,Software—Application,Technology,0,-17.219,0,22,-40.14,-40.14,36.75,4668352500,91.25,-0.4,,,,
AIFU,   Aix Inc,Insurance Brokers,Financial Services,3.256,2.424,0,6,372.44,372.44,1.27,72021700,156.04,2.4,,,,
AIG,   Amer Intl Grp,Insurance—Diversified,Financial Services,14.93,11.667,2.1,85,13.18,15.28,75.1,46845127000,22.38,0.7,XLF,S&P 500,,
AIN,   Albany Intl A,Textile Manufacturing,Consumer Cyclical,25.966,22.267,1.22,81,-2.52,-1.3,83.09,2600717000,33.51,0,,,,
AIOT,   Powerfleet Inc,Software—Infrastructure,Technology,0,22.278,0,9.5,34.94,34.94,7.04,930617600,78.55,0.4,,,,
AIP,   Arteris Inc,Semiconductors,Technology,0,-12.069,0,11,26,26,8.73,350771400,56.25,0.5,,,,
AIQUY,   Air Liquide-Adr,Specialty Chemicals,Basic Materials,30.225,22.562,1.88,41.7,24.29,26.17,33.55,97002108500,36.935,0.7,,,,
AIR,   Aar Corp,Aerospace & Defense,Industrials,37.79,16.442,0,82,19.88,19.88,68.4,2456244000,37.59,0.5,,,,
AIRE,   Realpha Tech Cp,Real Estate Services,Real Estate,0,-6,0,3,163.16,163.16,1.14,52291800,42.772,3.8,,,,
AIRG,   Airgain Inc,Communication Equipment,Technology,0,-17.262,0,11.5,29.36,29.36,8.89,100901500,72.25,0.4,,,,
AIRI,   Air Industries,Aerospace & Defense,Industrials,0,-62.429,0,7.75,77.35,77.35,4.37,14683200,50.247,1.5,,,,
AIRS,   Airsculpt Tech,Medical Care Facilities,Healthcare,0,-500.667,0,6.75,-10.12,-10.12,7.51,434678800,82.94,-0.1,,,,
AISP,   Airship Ai Hldg,Software—Infrastructure,Technology,5.172,-300,0,8.5,183.33,183.33,3,81870000,165.46,1.1,,,,
AIT,   Appld Indl Tech,Industrial Distribution,Industrials,28.276,26.105,0.54,285,2.85,3.39,277.1,10654495000,28.68,0.1,,,,
AIXI,   Xiao I Corp-Ads,Software—Application,Technology,0,-3.932,0,18,182.57,182.57,6.37,61343100,59.868,3,,,,
AIZ,   Assurant Inc,Insurance—Property & Casualty,Financial Services,16.239,12.684,1.42,231.5,1.83,3.25,227.34,11660268600,33.34,0.1,,S&P 500,,
AJG,   Gallagher Arthu,Insurance Brokers,Financial Services,59.124,36.497,0.78,297,-4.13,-3.35,309.81,67972314000,21.11,-0.2,XLF,S&P 500,,
AKA,   Aka Brands Hldg,Apparel Retail,Consumer Cyclical,0,-294.5,0,28,18.85,18.85,23.56,250678400,75.352,0.3,,,,
AKAM,   Akamai Tech,Software—Infrastructure,Technology,28.855,23.203,0,112.57,15.42,15.42,97.53,14651931900,30.85,0.5,,S&P 500,,
AKBA,   Akebia Therap,Drug Manufacturers—Specialty & Generic,Healthcare,0,-8.27,0,5,145.1,145.1,2.04,445087200,91.98,1.6,,,,
AKR,   Acadia Rlty Tr,REIT—Retail,Real Estate,230.364,65.912,2.97,27,6.55,9.52,25.34,3032184400,31.93,0.3,,,,
AKRO,   Akero Therp Inc,Biotechnology,Healthcare,0,-6.628,0,49,59.35,59.35,30.75,2146350000,56.2,1.1,,,,
AKYA,   Akoya Biosci,Medical Instruments & Supplies,Healthcare,0,-3.516,0,3,36.99,36.99,2.19,108536400,128.75,0.3,,,,
AKZOY,   Akzo Nobel Nv,Specialty Chemicals,Basic Materials,17.617,12.182,3.54,26,28.33,31.87,20.26,10390138400,24.23,1.3,,,,
AL,   Air Lease Corp,Rental & Leasing Services,Industrials,11.487,11.369,1.74,55,9.06,10.8,50.43,5616893400,25.91,0.4,,,,
ALAB,   Astera Labs,Semiconductors,Technology,0,1064.602,0,100,-14.17,-14.17,116.51,18479651100,74.01,-0.2,,,,
ALAR,   Alarum Tec Ltd,Software—Infrastructure,Technology,9.492,26.538,0,25,102.59,102.59,12.34,84775800,59.868,1.7,,,,
ALB,   Albemarle Corp,Specialty Chemicals,Basic Materials,0,15.06,1.46,109,-0.06,1.4,109.07,12820087800,46.05,0,XLB,S&P 500,,
ALC,   Alcon Inc,Medical Instruments & Supplies,Healthcare,37.325,38.817,0.3,101.83,16.59,16.89,87.34,43079581600,25.27,0.7,,,,
ALCO,   Alico Inc,Farm Products,Consumer Defensive,29.451,0,0.75,35,30.6,31.35,26.8,204216000,45.49,0.7,,,,
ALDX,   Aldeyra Therapt,Biotechnology,Healthcare,0,-51.045,0,10,110.97,110.97,4.74,282267000,90.5,1.2,,,,
ALE,   Allete Inc,Utilities - Diversified,Utilities,20.702,16.208,4.35,67,3.73,8.08,64.59,3734593800,9.89,0.8,,,,
ALEC,   Alector Inc,Biotechnology,Healthcare,0,-1.574,0,9,257.14,257.14,2.52,246783600,76.49,3.4,,,,
ALEX,   Alexandr&Baldwn,REIT—Retail,Real Estate,23.561,31.161,4.54,22,13.87,18.41,19.32,1403211600,25.69,0.7,,,,
ALG,   Alamo Group Inc,Farm & Heavy Construction Machinery,Industrials,20.095,18.405,0.51,214.5,7.39,7.9,199.74,2408864400,27.56,0.3,,,,
ALGM,   Allegro Micro,Semiconductors,Technology,0,94.735,0,29,32.54,32.54,21.88,4025482400,49.58,0.7,,,,
ALGN,   Align Tech Inc,Medical Instruments & Supplies,Healthcare,40.002,30.35,0,275,17.52,17.52,234.01,17468846500,41.75,0.4,XLV,S&P 500,,
ALGS,   Aligos Therap,Biotechnology,Healthcare,0,-2.245,0,75,180.37,180.37,26.75,96032500,113.22,1.6,,,,
ALGT,   Allegiant Travl,Airlines,Industrials,0,14.804,3.81,75,-5.11,-1.3,79.04,1449593600,56.26,0,,,,
ALHC,   Alignment Hlthc,Healthcare Plans,Healthcare,0,-24.962,0,14,11.55,11.55,12.55,2405835000,72.49,0.2,,,,
ALIT,   Alight Inc,Software—Application,Technology,0,-70.435,2,11,39.24,41.24,7.9,4289858000,40.11,1,,,,
ALIZY,   Allianz Se-Adr,Insurance—Diversified,Financial Services,12.18,10.836,4.78,35.85,14.98,19.76,31.18,1.22E+11,45.999,0.4,,,,
ALK,   Alaska Air Grp,Airlines,Industrials,20.936,9.831,0,62,17.98,17.98,52.55,6671222500,45.09,0.4,,,,
ALKS,   Alkermes Inc,Drug Manufacturers—Specialty & Generic,Healthcare,12.873,24.693,0,36,22.12,22.12,29.48,4769864000,36.86,0.6,,,,
ALKT,   Alkami Tec Inc,Software—Application,Technology,0,-269.614,0,44.5,15.83,15.83,38.42,3861210000,48.2,0.3,,,,
ALL,   Allstate Corp,Insurance—Property & Casualty,Financial Services,13.148,10.416,1.8,225,10.62,12.42,203.4,53860320000,21.58,0.6,XLF,S&P 500,,
ALLE,   Allegion Plc,Security & Protection Services,Industrials,21.614,19.371,1.37,151.06,7.52,8.89,140.49,12212795700,27.84,0.3,,S&P 500,,
ALLE,   Allegion Plc,Security & Protection Services,Industrials,21.614,19.371,1.37,151.06,7.52,8.89,140.49,12212795700,27.84,0.3,,S&P 500,,
ALLK,   Allakos Inc,Biotechnology,Healthcare,0,-1.837,0,2.5,117.39,117.39,1.15,102741000,155,0.8,,,,
ALLO,   Allogene Therps,Biotechnology,Healthcare,0,-1.706,0,9,288.77,288.77,2.32,486434400,126.35,2.3,,,,
ALLT,   Allot Ltd,Software—Infrastructure,Technology,0,76.667,0,13,182.61,182.61,4.6,176824000,62.79,2.9,,,,
ALLY,   Ally Financial,Credit Services,Financial Services,15.644,9.112,3.06,40,2.28,5.34,39.11,11917599200,36.58,0.1,,,,
ALMS,   Alumis Inc,Biotechnology,Healthcare,0,-1.74,0,29,238.79,238.79,8.56,404203200,102.779,2.3,,,,
ALNT,   Allient Inc,Electronic Components,Technology,30.851,23.238,0.45,30,11.77,12.22,26.84,452254000,41.81,0.3,,,,
ALNY,   Alnylam Pharma,Biotechnology,Healthcare,0,-189.351,0,300,19.12,19.12,251.84,32482323200,35.21,0.5,,,,
ALPMY,   Astellas Pharma,Drug Manufacturers—General,Healthcare,54,28.51,4.37,12,11.11,15.48,10.8,19544328000,102.779,0.2,,,,
ALRM,   Alarm.Com Hldgs,Software—Application,Technology,28.47,31.277,0,71.5,8.25,8.25,66.05,3264851500,30.49,0.3,,,,
ALRN,   Aileron Therap,Biotechnology,Healthcare,0,-1.837,0,13,400,400,2.6,56342000,102.779,3.9,,,,
ALRS,   Alerus Finl Cp,Banks—Regional,Financial Services,128.235,10.583,3.6,23,5.5,9.1,21.8,552412000,31.09,0.3,,,,
ALSMY,   Alstom Unsp Adr,Railroads,Industrials,0,13.768,1.42,2.44,16.54,17.96,2.09,9645559000,53.34,0.3,,,,
ALSN,   Allison Transmn,Auto Parts,Consumer Cyclical,14.298,12.578,0.86,112.5,-3.81,-2.95,116.96,10131075200,36.71,-0.1,,,,
ALT,   Altimmune Inc,Biotechnology,Healthcare,0,-7.484,0,24.5,178.73,178.73,8.79,625232700,101.2,1.8,,,,
ALTG,   Alta Equipment,Rental & Leasing Services,Industrials,0,-7.401,2.84,11,41.21,44.05,7.79,259095400,59.03,0.7,,,,
ALTI,   Aiti Global Inc,Asset Management,Financial Services,0,13,0,9,97.8,97.8,4.55,636226500,37.251,2.6,,,,
ALTM,   Arcadium Lithm,Specialty Chemicals,Basic Materials,28.389,23.509,0,5.85,14.48,14.48,5.11,5496469300,28.28,0.5,,,,
ALTO,   Alto Ingredient,Specialty Chemicals,Basic Materials,0,6.698,0,4.5,212.5,212.5,1.44,110376000,82.5,2.6,,,,
ALTR,   Altair Engineer,Software—Infrastructure,Technology,263.25,228.878,0,113,7.31,7.31,105.3,8958924000,43.69,0.2,,,,
ALUR,   Allurion Tech,Medical Devices,Healthcare,0,-1.816,0,2,450.66,450.66,0.36,23173200,207.5,2.2,,,,
ALV,   Autoliv Inc,Auto Parts,Consumer Cyclical,12.683,9.692,2.8,114,17.34,20.14,97.15,7650562500,23.53,0.9,,,,
ALVOF,   Alvopetro Egy,Oil & Gas E&P,Energy,7.897,2.762,11.73,7.25,135.39,147.12,3.08,112604800,43.098,3.4,,,,
ALVR,   Allovir Inc,Biotechnology,Healthcare,0,-0.733,0,1.5,205.56,205.56,0.49,56624400,220,0.9,,,,
ALXO,   Alx Oncology,Biotechnology,Healthcare,0,-0.632,0,6,287.1,287.1,1.55,81747000,189.43,1.5,,,,
