Ticker,Total Return,Total Return (EPS),Total Return (SPS),Total Return (FCFPS),Total Return (Composite)
AENT,9.09,9.09,9.09,9.09,9.09
AEO,15.41,29.84,38.21,54.11,40.72
AEP,7.38,89.73,23.74,14.96,42.81
AER,17.35,30.24,-15.76,81.55,32.01
AES,73.88,45.89,63.48,95.67,68.35
AESI,-0.11,4.1,4.1,4.1,4.10
AETUF,97.51,2.74,2.74,2.74,2.74
AEVA,27.61,27.61,27.61,27.61,27.61
AEYE,33.72,43.46,-12.11,74.59,35.31
AFCG,48.66,69.38,-94.11,161.55,45.61
AFG,7.83,86.93,9.51,9.47,35.30
AFL,0.15,31.98,-60.12,118.41,30.09
AFLYY,2.53,2.53,2.53,2.53,2.53
AFRM,-20.15,34.12,25.31,66.06,41.83
AG,38.33,0.32,0.32,0.32,0.32
AGCO,2.57,31.53,10.7,69.5,37.24
AGEN,114.29,109.52,-20.22,146.85,78.72
AGESY,27.57,6.94,6.94,6.94,6.94
AGI,27.09,0.54,0.54,0.54,0.54
AGIO,-5.74,10.12,35.79,66.82,37.58
AGL,17.37,79.6,48.61,6.83,45.01
AGM,4.28,25.89,16.15,77.47,39.84
AGNC,25.76,-46.22,89.77,91.45,45.00
AGO,17.86,33.85,50.41,64.03,49.43
AGR,5.15,-16.75,14.47,117.96,38.56
AGRO,22.01,0.11,134.8,106.23,80.38
AGS,7.76,-9.69,597641,126.7,199252.67
AGX,-22.33,6.15,32.64,90.37,43.05
AGYS,9.03,106.09,59.77,94.5,86.79
AHCO,25.26,0.66,17.4,88.15,35.40
AHEXY,7.76,10.32,10.32,10.32,10.32
AHH,16.69,-82.91,102.98,175.44,65.17
AHR,3.8,3.45,3.45,3.45,3.45
AHT,65.75,-57.49,38.02,101.46,27.33
AI,-40.14,-506.84,70.77,447.52,3.82
AIFU,372.44,372.44,372.44,372.44,372.44
AIG,15.28,26.75,-21.82,117.43,40.79
AIN,-1.3,61.81,-16.44,67.38,37.58
AIOT,34.94,-45.86,56.82,102.78,37.91
AIP,26,187.47,-75.11,-50.28,20.69
AIQUY,26.17,1.88,1.88,1.88,1.88
AIR,19.88,21.73,-36.47,89.63,24.96
AIRE,163.16,163.16,163.16,163.16,163.16
AIRG,29.36,-108.9,-159.04,126.75,-47.06
AIRI,77.35,1.43,72.89,84.99,53.10
AIRS,-10.12,-51.94,57.15,60.59,21.93
AISP,183.33,183.33,183.33,183.33,183.33
AIT,3.39,60.89,45.17,-2.08,34.66
AIXI,182.57,182.57,182.57,182.57,182.57
AIZ,3.25,27.15,10.65,69.27,35.69
AJG,-3.35,117.81,33.93,-49.28,34.15
AKA,18.85,-10.44,-79.1,124.84,11.77
AKAM,15.42,119.74,-160.63,215.28,58.13
AKBA,145.1,97.93,-11.98,92.77,59.57
AKR,9.52,4.61,44.9,77.65,42.39
AKRO,59.35,59.35,59.35,59.35,59.35
AKYA,36.99,-319.86,388.2,19.89,29.41
AKZOY,31.87,3.54,3.54,3.54,3.54
AL,10.8,21.42,28.36,64.66,38.15
ALAB,-14.17,-14.17,-14.17,-14.17,-14.17
ALAR,102.59,-239.45,253.74,60.72,25.00
ALB,1.4,48.43,896.91,77.45,340.93
ALC,16.89,0.3,0.3,0.3,0.30
ALCO,31.35,11.32,84.96,96.62,64.30
ALDX,110.97,61.59,23.55,32.29,39.14
ALE,8.08,50.6,-11.52,60.54,33.21
ALEC,257.14,174.45,-614.22,-36.79,-158.85
ALEX,18.41,21.13,0.7,101.92,41.25
ALG,7.9,96.61,14.99,-3.7,35.97
ALGM,32.54,12.27,51.61,40.8,34.89
ALGN,17.52,4.21,39.92,62.47,35.53
ALGS,180.37,-133,214.37,-252.77,-57.13
ALGT,-1.3,20.6,138.06,96.41,85.02
ALHC,11.55,107.37,6.51,-14.29,33.20
ALIT,41.24,2,2,2,2.00
ALIZY,19.76,4.78,4.78,4.78,4.78
ALK,17.98,-0.51,53.97,86.62,46.69
ALKS,22.12,284.49,-2.35,112.87,131.67
ALKT,15.83,265.36,-134.3,-44.31,28.92
ALL,12.42,16.26,27.68,67.31,37.08
ALLE,8.89,1.37,1.37,1.37,1.37
ALLE,8.89,8.11,64.06,32.89,35.02
ALLK,117.39,117.39,117.39,117.39,117.39
ALLO,288.77,49.95,-31.68,87.7,35.32
ALLT,182.61,-134.52,-66.2,132.1,-22.87
ALLY,5.34,25.42,-3.74,91.84,37.84
ALMS,238.79,238.79,238.79,238.79,238.79
ALNT,12.22,-6.09,-18.06,117.26,31.04
ALNY,19.12,52.81,11.52,66.91,43.75
ALPMY,15.48,4.37,4.37,4.37,4.37
ALRM,8.25,-1.77,12.49,91.39,34.04
ALRN,400,771.34,-724.21,400,149.04
ALRS,9.1,-17.22,6.42,120.94,36.71
ALSMY,17.96,1.42,1.42,1.42,1.42
ALSN,-2.95,-6.29,70.98,37.99,34.23
ALT,178.73,178.73,178.73,178.73,178.73
ALTG,44.05,4.71,43.21,89.64,45.85
ALTI,97.8,-175.35,38.26,177.5,13.47
ALTM,14.48,14.48,14.48,14.48,14.48
ALTO,212.5,50.41,76.91,1.93,43.08
ALTR,7.31,-65.58,37.91,76.62,16.32
ALUR,450.66,-9.96,-189.49,258.12,19.56
ALV,20.14,34.42,-13.01,85.9,35.77
ALVOF,147.12,11.73,11.73,11.73,11.73
ALVR,205.56,-1345.22,1654.86,-0.54,103.03
ALXO,287.1,676.14,-580.23,117.65,71.19
AM,9.23,44.81,13.16,87.61,48.53
AMAL,15.05,42.89,10.48,51.21,34.86
AMAT,23.7,40.44,62.31,0.73,34.49
AMBA,25.28,81.42,11.37,90.61,61.13
AMBC,33.65,-53.97,-54.84,113.88,1.69
AMBP,21.5,55.48,-1667.65,114.77,-499.13
AMC,-17.7,-234.64,193.87,100.44,19.89
AMCR,8.99,8.78,39.38,67.16,38.44
AMCX,-3.54,91.46,29.36,-15.39,35.14
AMD,29.95,-55.23,151.06,106.97,67.60
AME,5.03,132.33,23.88,-57.28,32.98
AMED,17.07,33.95,50.64,44.86,43.15
AMG,5.65,3.65,11.15,87.08,33.96
AMGN,23,13.74,0.16,96.14,36.68
AMH,12.27,-5.84,31.75,98.52,41.48
AMKR,27.19,-2.16,9.09,99.06,35.33
AMLI,414.43,414.43,414.43,414.43,414.43
AMLX,40.19,-141.45,197.03,65.37,40.32
AMN,58.38,34.86,1.29,70.29,35.48
AMP,-1.82,5.53,10.91,90.9,35.78
AMPG,350.7,17.17,23.41,71.87,37.48
AMPH,22.44,21.46,1.07,83.09,35.21
AMPL,4.46,-367.86,155.85,478.47,88.82
AMPS,39.24,18.04,-8.66,97.87,35.75
AMPX,135.04,135.04,135.04,135.04,135.04
AMPY,42.22,51.17,90.52,91.58,77.76
AMR,37.73,11.32,-6.09,98.73,34.65
AMRC,35.09,66.05,48.01,-7.8,35.42
AMRK,37.3,81.01,-3.23,46.19,41.32
AMRN,97.2,1184.14,6.64,426.15,538.98
AMRX,23.09,-240.34,-55.27,122.52,-57.70
AMS,38.46,47.48,18.7,83.68,49.95
AMSC,-11.69,-85.01,102.6,93.63,37.07
AMSF,-4.81,107.92,-17.45,9.56,33.34
AMT,21.04,34.89,-2.5,81.4,37.93
AMTB,1.23,29.41,-16.64,84.75,32.51
AMTM,25.67,25.67,25.67,25.67,25.67
AMTX,110.6,-140.28,151.32,72.36,27.80
AMWD,25.44,49.88,-22.61,80.14,35.80
AMWL,32.01,150.71,993.15,-1135.45,2.80
AMX,50.48,3.42,3.42,3.42,3.42
AMZN,10.1,36.36,-4.7,71.12,34.26
AN,8.07,13.47,-4.27,88.55,32.58
ANAB,145.45,-19.43,103.35,50.96,44.96
ANDE,37.38,41.43,-252.95,73.74,-45.93
ANEB,416.13,416.13,416.13,416.13,416.13
ANET,-72.86,-72.86,-72.86,-72.86,-72.86
ANET,-72.86,18.18,46.02,45.57,36.59
ANF,22.6,65.91,9.53,43.31,39.58
ANGI,25.63,123.86,-160.36,89.79,17.76
ANGO,83.1,-26.23,1.15,101.85,25.59
ANIK,52.74,65.59,22.59,91.13,59.77
ANIP,45.95,-0.62,96.02,93.88,63.09
ANIX,156.02,62.75,38.7,32.74,44.73
ANL,316.67,316.67,316.67,316.67,316.67
ANNX,150.5,150.5,150.5,150.5,150.50
ANRO,136.97,136.97,136.97,136.97,136.97
ANSS,2.55,-16,-95.93,209.18,32.42
ANTX,33.33,33.33,33.33,33.33,33.33
ANVS,306.89,306.89,306.89,306.89,306.89
ANY,122.22,33.67,236.55,-351.2,-26.99
AOMR,37.27,402.03,97.65,214.32,238.00
AON,1.2,72.11,21.82,10.05,34.66
AORT,11.19,-518.18,-327.59,105.85,-246.64
AOS,13.95,87.23,18.15,1.69,35.69
AOSL,-14.07,30.27,-375.98,90.61,-85.03
AOUT,13.75,-76.5,3.93,110.07,12.50
APA,38.29,9.75,2.98,104.59,39.11
APAM,-5.28,45.62,-1.1,97.2,47.24
APD,7.36,127.49,56.37,-29.36,51.50
APEI,14.61,57.71,48.77,46.77,51.08
APELY,-5.64,2.56,2.56,2.56,2.56
APG,16.87,44.03,-4.54,83.73,41.07
APGE,94.55,94.55,94.55,94.55,94.55
APH,9.61,173.34,33.24,-104.51,34.02
API,-26.76,93.29,-252.18,46.74,-37.38
APLD,14.94,14.94,14.94,14.94,14.94
APLE,10.77,-19.41,20.72,109.13,36.81
APLS,32.83,27.91,58.75,25.02,37.23
APLT,225.44,225.44,574.46,-237.87,187.34
APO,-1.82,13.78,1.99,86.59,34.12
APOG,0.22,34.23,-4.44,78.53,36.11
APP,-24.98,144.69,-215.13,197.88,42.48
APPF,7.04,38.7,-8.95,96.19,41.98
APPN,3.6,46.27,-98.09,123.94,24.04
APPS,36.99,-6950.05,-20.73,127.15,-2281.21
APRE,412.82,735.71,-324.01,405.89,272.53
APTV,32.83,-36.15,20.43,110.21,31.50
APYX,51.52,-16.66,51.89,83.03,39.42
AQN,11.27,5.38,5.38,5.38,5.38
AQST,127.79,-32.12,-34.19,150.25,27.98
AR,2.87,43,104.49,98.78,82.09
ARAY,185.71,36.02,-43.21,93.61,28.81
ARBE,108.33,170.46,-98.56,26.64,32.85
ARBK,22.77,-248.88,229.67,197.27,59.35
ARCB,8.4,43.57,-32.19,94.82,35.40
ARCC,7.88,8.69,8.69,8.69,8.69
ARCH,1.62,-30.67,47.06,91.69,36.03
ARCO,65.71,37.13,124.21,87.16,82.83
ARCT,296.65,93.67,0.77,74.11,56.18
ARDT,37.11,37.11,37.11,37.11,37.11
ARDX,100,48.41,20.17,81.25,49.94
ARE,16.76,12.89,27.46,82.12,40.82
AREC,203.03,378.4,-101.35,-259.68,5.79
ARES,1.54,99.53,-11.41,6.3,31.47
ARGX,2.93,62.23,1.15,76.16,46.51
ARHS,6.98,-56.88,49,145.54,45.89
ARI,9.33,28.94,81.33,25.9,45.39
ARIS,-7.6,-20.68,-105.93,130.14,1.18
ARKAY,61.92,4.78,4.78,4.78,4.78
ARKO,5.99,-37.02,31.68,114.25,36.30
ARLO,33.12,-74.32,-10.26,137.88,17.77
ARLP,9.67,52.11,-20.62,94.75,42.08
ARM,13.26,13.26,13.26,13.26,13.26
ARMK,10.49,-7.32,7.43,101.08,33.73
ARMP,227.1,116.36,-109.78,45.38,17.32
AROC,5,-91.21,155.78,121.21,61.93
AROW,9.67,51.7,0.33,63.12,38.38
ARQ,31.93,74.32,85.44,95.11,84.96
ARQQ,419.29,51.08,102.3,-22.77,43.54
ARQT,54.85,640.99,-592.4,27.91,25.50
ARR,19.77,-1530.91,28.51,251.75,-416.88
ARREF,72.36,7.07,7.07,7.07,7.07
ARRY,57.73,563.68,-554.85,112.42,40.42
ARTL,362.96,-0.32,100.13,362.96,154.26
ARTNA,58.76,126.75,11.89,-25.4,37.75
ARTV,74.46,74.46,74.46,74.46,74.46
ARVN,148.04,77.22,382.62,41.33,167.06
ARW,6.37,-2.57,-0.07,102.03,33.13
ARWR,72.61,-32.81,59.96,91.65,39.60
AS,-6.72,-6.72,-6.72,-6.72,-6.72
ASAN,-14.36,-54.85,108.04,63.11,38.77
ASB,3.68,40.66,-20.69,82.58,34.18
ASC,57.24,56.86,113.99,91.55,87.47
ASGN,11.9,19.8,13.1,70.44,34.45
ASH,23.37,-17.76,17.86,100.59,33.56
ASHTY,-7.08,1.29,1.29,1.29,1.29
ASIX,17.05,-27.47,43.99,103.86,40.13
ASLE,14.75,106.14,-3.31,-3.91,32.97
ASM,62.16,210.54,22.45,106.14,113.04
ASMB,116.46,306.4,13.74,69.43,129.86
ASMIY,9.98,0.55,0.55,0.55,0.55
ASML,22.41,95.02,3.19,5.22,34.48
ASND,35.48,139.57,-43.4,-3.51,30.89
ASO,27.97,19.08,-49.36,123.8,31.17
ASPI,32.92,32.92,32.92,32.92,32.92
ASPN,117.08,-2.23,22.55,93.33,37.88
ASR,21.38,1.8,1.8,1.8,1.80
ASRT,200.33,-16.35,-89.86,115.31,3.03
ASTE,10.61,15.7,32.37,92.7,46.92
ASTH,52.74,2.48,10.86,94.76,36.03
ASTS,57.14,163.38,-180.96,149.7,44.04
ASUR,29.8,123.92,-210.76,98.81,3.99
ASX,28.29,3.16,3.16,3.16,3.16
ASYS,5.08,26.37,93.03,98.74,72.71
ATAI,390.8,38.11,16.12,53.43,35.89
ATEC,70,2.25,2503.47,900.09,1135.27
ATEN,17.45,109.27,30.26,101.38,80.30
ATER,209.09,-47.01,32.31,110.85,32.05
ATEX,120.72,83.13,1.52,24.07,36.24
ATGE,0.77,32.39,26.06,48.75,35.73
ATHA,-12.7,-12.7,-12.7,-12.7,-12.70
ATHM,11.27,111.59,18.04,-10.22,39.80
ATI,17.17,53.08,-55.84,92.22,29.82
ATIP,67.6,67.6,67.6,67.6,67.60
ATKR,11.77,30.46,26.89,49.79,35.71
ATLC,-13.28,44.36,47.33,46.39,46.03
ATLX,163.16,163.16,163.16,163.16,163.16
ATMU,12.4,0.46,0.46,0.46,0.46
ATNI,55.62,56.37,35.95,95.41,62.58
ATNM,273.13,124.35,-25.48,74.64,57.84
ATO,1.66,111.22,1.27,-16.7,31.93
ATOM,12.9,-510.54,590.23,-32.11,15.86
ATOS,428.46,759.88,-714.81,39.83,28.30
ATR,8.35,101.95,9.63,-7.84,34.58
ATRA,10.06,96.63,9.48,-13.63,30.83
ATRC,10.74,-56.08,25.19,108.89,26.00
ATRO,46.25,22.21,3.67,92.34,39.41
ATS,6.95,6.95,6.95,6.95,6.95
ATSG,2.37,62.47,8.12,96.71,55.77
ATUS,-20.95,-132.32,118.84,1.82,-3.89
ATXI,327.81,-134.07,224.12,327.81,139.29
ATXS,144.38,7.03,17.52,58.35,27.63
ATYR,500.6,-676.53,716.56,72.59,37.54
AU,22.43,1.71,1.71,1.71,1.71
AUB,11.83,65.93,7.54,39.73,37.73
AUDC,-1.86,22.98,57.96,58.62,46.52
AUMN,441.52,441.52,441.52,441.52,441.52
AUNA,81.23,81.23,81.23,81.23,81.23
AUOTY,33.19,5.86,5.86,5.86,5.86
AUPH,24.29,65.05,20.07,76.41,53.84
AUR,-32.43,-206.63,198.96,75.82,22.72
AURA,166.51,166.51,166.51,166.51,166.51
AUTL,228.13,-101.64,206.24,-10.99,31.20
AVA,2.38,95.62,-2.66,41.61,44.86
AVAH,0.18,-150.49,-1101.32,145.8,-368.67
AVAL,44.5,207.67,-16.86,29.26,73.36
AVAV,16.52,-49.45,19.75,97.06,22.45
AVB,6.27,32.19,13.94,73.63,39.92
AVBH,15.28,15.28,15.28,15.28,15.28
AVBP,32.21,32.21,32.21,32.21,32.21
AVD,131.09,55.21,3.07,63.31,40.53
AVDL,126.36,67.19,-1.04,85.14,50.43
AVDX,-2.74,137.41,-166.77,63.31,11.32
AVGO,18.72,-5.1,86.69,22.97,34.85
AVIR,85.92,2642.22,116.1,110.88,956.40
AVNS,18.23,-66.18,-286.75,119.39,-77.85
AVNT,9.22,34.25,27.53,70.33,44.04
AVNW,75.7,67.13,147.72,93.33,102.73
AVO,28.79,39.84,33.69,90.4,54.64
AVPT,-6.7,66.57,70.61,42.8,59.99
AVT,1.1,-1.63,15.82,103.42,39.20
AVTE,-23.66,-23.66,-23.66,-23.66,-23.66
AVTR,28.02,5.09,68.69,30.32,34.70
AVTX,251.41,167.9,-112.25,80.02,45.22
AVVIY,24.43,7.07,7.07,7.07,7.07
AVXL,350.39,-66.5,176.98,350.39,153.62
AVY,16.24,33.39,63.41,16.91,37.90
AWH,412.05,80.79,89.05,-80.47,29.79
AWI,-8.44,163.25,221.95,23.96,136.39
AWK,5.96,54.65,31.06,39.76,41.82
AWR,6.25,140.22,7.44,-40.37,35.76
AX,-0.02,-16.71,-10.61,124.25,32.31
AXAHY,39.94,6.24,6.24,6.24,6.24
AXGN,21.19,-112.25,18.5,129.8,12.02
AXL,10.78,55.63,26.66,97.18,59.82
AXON,-12.67,24.84,10.66,74.25,36.58
AXP,-4.57,81.73,-7.25,25.02,33.17
AXS,4.5,30.84,12.01,78.64,40.50
AXSM,24.39,209.24,-85.35,-48.86,25.01
AXTA,9.1,-16.66,29.11,87.24,33.23
AXTI,155.1,62.37,39.86,74.64,58.96
AY,8.23,-47.05,-55.88,165.35,20.81
AYI,-0.24,124.52,-41.98,15.08,32.54
AYTU,404.6,658.49,-64.51,-753.5,-53.17
AZEK,-0.89,-15.18,15.05,98.01,32.63
AZN,31.54,-31.32,-26.56,151.84,31.32
AZO,5.66,151.25,-27.24,-26.14,32.62
AZPN,-0.45,0.99,0.99,0.99,0.99
AZTA,8.58,-86.42,58.39,99.6,23.86
AZUL,93.97,5.54,-70.95,133.39,22.66
AZZ,2.62,-157.89,18.62,205.47,22.07
B,2.29,37.26,22.67,53.61,37.85
BA,22.58,-86.22,24.79,103.18,13.92
BAC,4.73,63.78,8.58,45.62,39.33
BAER,117.8,15.92,43.76,55.04,38.24
BAESY,9.37,2.53,2.53,2.53,2.53
BAH,22.57,92.11,-35.23,43.44,33.44
BALL,13.9,43.46,-24.95,64.39,27.63
BALY,2.64,-159.45,-169.76,206.2,-41.00
BAM,-1.34,2.66,2.66,2.66,2.66
BANC,6.88,43.64,-56.4,103.31,30.18
BAND,8.43,45.06,113.86,100.72,86.55
BANF,-11.24,96.51,6.22,1.99,34.91
BANR,-2.59,66.75,24.61,81.74,57.70
BARK,-8.68,-72.33,54.04,138.99,40.23
BASE,8.9,8.9,8.9,8.9,8.90
BAX,16.73,2.42,3.75,101.34,35.84
BB,18.11,18.11,18.11,18.11,18.11
BBAI,-2.83,85.32,-100.63,61.42,15.37
BBCP,-9.85,-88.8,9.23,98.71,6.38
BBDC,12.81,-69.34,8.96,175.91,38.51
BBIO,78.71,-278.43,413.15,-63.03,23.90
BBSEY,24.59,9.07,9.07,9.07,9.07
BBSI,3.51,43.4,19.52,62.25,41.72
BBU,25.14,-5.62,35.45,97.08,42.30
BBVA,36.16,7.95,7.95,7.95,7.95
BBW,6.94,63.69,-7.58,87.18,47.76
BBWI,16.46,56.78,42.45,19.01,39.41
BBY,16.44,47.55,25.88,48.44,40.62
BC,15.29,33.37,27.65,68.23,43.08
BCAL,1.29,1.29,1.29,1.29,1.29
BCAX,93.7,93.7,93.7,93.7,93.70
BCBP,10.8,25.44,0.37,90.14,38.65
BCC,3.01,51.15,-21.16,77.04,35.68
BCE,95.29,10.61,10.61,10.61,10.61
BCML,5.55,55.88,27.84,46.54,43.42
BCO,38.46,10.97,20.49,81.4,37.62
BCOV,3.97,49.21,348.75,66.21,154.72
BCPC,7.19,116.31,18.32,-33.28,33.78
BCRX,52.99,108.61,-26.36,25.39,35.88
BCS,-18.34,2.7,2.7,2.7,2.70
BCSF,9.3,9.88,9.88,9.88,9.88
BCYC,79.95,104.17,-6.83,-0.49,32.28
BDC,6.1,6.74,45.83,53.68,35.42
BDN,18.94,21.62,45.75,100.4,55.92
BDSX,120.59,69.72,-130.77,142.62,27.19
BDX,26.04,-41.77,-3.35,139.55,31.48
BE,-24.45,-66.21,-10.61,149.46,24.21
BEAM,84.76,112.81,-31.5,9.19,30.17
BEAT,69.49,69.49,69.49,69.49,69.49
BECN,1.45,26.54,-12.33,94.41,36.21
BEEM,142.42,-59,224.96,-225.69,-19.91
BELFB,12.85,0.34,0.34,0.34,0.34
BEN,-8.57,101.33,8.14,7.48,38.98
BEP,26.6,5.51,5.51,5.51,5.51
BEPC,10.17,29.4,-120.92,104,4.16
BERY,6.33,-6.27,25.58,87.25,35.52
BFAM,24.56,27.34,61.53,39.55,42.81
BFC,0.22,82.94,-6.95,22.45,32.81
BFH,-2.13,71.05,-133.95,155.95,31.02
BFIN,-8.7,33.51,106.96,100.42,80.30
BFLY,-9.37,-74.1,66.18,71.4,21.16
BFS,17.57,15.9,-0.92,97.01,37.33
BFST,16.93,-56.34,6.02,154.8,34.83
BG,27.68,17.78,5.72,93.71,39.07
BGC,24.67,-250.72,-61.12,118.8,-64.35
BGNE,39.31,303.55,-113.38,74.08,88.08
BGS,27.85,55.36,44.78,55.6,51.91
BGSF,138.77,45.94,13.23,88.31,49.16
BHB,-6.53,32.75,16.84,64.09,37.89
BHC,11.25,-336.78,38.15,98.06,-66.86
BHE,-0.57,15.1,23.24,90.05,42.80
BHF,1.38,832.85,-14.25,118.99,312.53
BHLB,-2.01,24.98,4.89,96.05,41.97
BHP,12.8,5.5,5.5,5.5,5.50
BHR,-5.87,54.99,7.5,104.65,55.71
BHRB,9.85,3.13,3.13,3.13,3.13
BHST,185.71,185.71,185.71,185.71,185.71
BHVN,45.38,45.38,45.38,45.38,45.38
BIAF,445.45,445.45,445.45,445.45,445.45
BIGC,15.02,-345.89,291.2,165,36.77
BIIB,58.84,27.19,-20.89,93.56,33.29
BILL,3.41,1.91,-455.95,210.23,-81.27
BIO,23.39,-20.01,74.02,38.78,30.93
BIOA,143.06,143.06,143.06,143.06,143.06
BIOX,91.46,2.45,44.03,98.93,48.47
BIP,16.33,40.25,40.92,72.33,51.17
BIPC,5.75,59.69,-61.29,161.8,53.40
BIRD,36.82,-501.17,-214.28,591.82,-41.21
BIRK,12.28,12.28,12.28,12.28,12.28
BITF,101.01,-72.58,12.64,105.31,15.12
BIVI,63.4,706.14,-694.61,63.4,24.98
BJ,3.87,80.05,-14.83,32.8,32.67
BJRI,8.46,32.5,-6.85,85.45,37.03
BK,3.74,41.1,-9.68,66.36,32.59
BKD,45.19,-27.69,68.09,97.45,45.95
BKE,-9.08,81.26,26.6,1.66,36.51
BKEAY,-0.01,5.08,5.08,5.08,5.08
BKH,3.35,59.95,4.69,56.72,40.45
BKNG,-0.47,-0.21,-42.17,142.38,33.33
BKR,1.53,53.98,27.26,97.64,59.63
BKSY,13.1,145.68,-78.58,24.66,30.59
BKU,-2.39,10.46,2.56,105.78,39.60
BKV,14.89,14.89,14.89,14.89,14.89
BKYI,167.86,-11.29,94.51,50.91,44.71
BL,-4.46,92.03,56.37,51.71,66.70
BLBD,52.21,36.57,17.5,82.61,45.56
BLCO,9.3,9.3,9.3,9.3,9.30
BLD,13.32,-32.17,110.27,22.56,33.55
BLDE,28.5,28.5,28.5,28.5,28.50
BLDP,36.05,45.78,81.88,-12.54,38.37
BLDR,19.26,50.59,-0.38,57.68,35.96
BLFS,11.9,-49.54,22.31,116.92,29.90
BLFY,-5.6,0.81,16.14,94.72,37.22
BLGO,90,90,90,90,90.00
BLIN,37.49,-32.14,57.97,95.2,40.34
BLK,8.11,70.62,19.11,17.16,35.63
